team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,
man city,Raheem Sterling\Raheem-Sterling,eng ENG,FW,24,45,38,3464,24,4,0,1,6,0,0.62,0.1,0.73,0.62,0.73,16.8,15.9,8.8,0.55,0.29,0.83,0.52,0.8,Matches
man city,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,28,42,38,3298,13,21,4,4,5,0,0.35,0.57,0.93,0.25,0.82,8.8,6.6,17.1,0.28,0.54,0.82,0.21,0.75,Matches
man city,Rodri\Rodri,es ESP,MF,23,45,38,3280,4,1,0,0,12,0,0.11,0.03,0.14,0.11,0.14,1.2,1.2,1.5,0.04,0.05,0.09,0.04,0.09,Matches
man city,Ederson\Ederson,br BRA,GK,25,37,37,3206,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
man city,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,28,45,34,3197,5,5,2,3,7,0,0.14,0.14,0.28,0.08,0.23,6.3,4.8,3.5,0.23,0.13,0.36,0.17,0.3,Matches
man city,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,24,47,34,3077,7,10,0,0,6,0,0.2,0.29,0.5,0.2,0.5,5.9,5.9,5.3,0.24,0.22,0.46,0.24,0.46,Matches
man city,Fernandinho\Fernandinho,br BRA,DF,34,35,32,2931,0,1,0,0,12,2,0,0.03,0.03,0,0.03,1.1,1.1,0.6,0.03,0.02,0.05,0.03,0.05,Matches
man city,Kyle Walker\Kyle-Walker,eng ENG,DF,29,35,33,2891,1,4,0,0,6,0,0.03,0.12,0.16,0.03,0.16,0.8,0.8,1.5,0.03,0.06,0.09,0.03,0.09,Matches
man city,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,28,44,33,2874,12,12,1,1,1,0,0.38,0.38,0.75,0.34,0.72,7.7,6.9,10.4,0.31,0.42,0.73,0.28,0.7,Matches
man city,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,31,37,30,2823,3,0,0,0,5,0,0.1,0,0.1,0.1,0.1,2.6,2.6,0.2,0.11,0.01,0.12,0.11,0.12,Matches
man city,Gabriel Jesus\Gabriel-Jesus,br BRA,FWMF,22,46,27,2722,19,8,0,2,3,0,0.63,0.26,0.89,0.63,0.89,18.7,17.2,3.5,0.82,0.15,0.97,0.75,0.9,Matches
man city,David Silva\David-Silva,es ESP,MF,33,34,28,2289,5,10,0,0,0,0,0.2,0.39,0.59,0.2,0.59,5.8,5.8,4.3,0.32,0.24,0.56,0.32,0.56,Matches
man city,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,25,27,24,2092,0,4,0,0,6,0,0,0.17,0.17,0,0.17,0.3,0.3,2.3,0.01,0.12,0.13,0.01,0.13,Matches
man city,Sergio Agüero\Sergio-Aguero,ar ARG,FW,31,32,25,2085,23,3,3,4,1,0,0.99,0.13,1.12,0.86,0.99,16.9,13.8,2.6,0.92,0.14,1.06,0.76,0.9,Matches
man city,João Cancelo\Joao-Cancelo,pt POR,DF,25,29,21,2004,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,0.4,0.4,1.5,0.03,0.1,0.13,0.03,0.13,Matches
man city,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DFMF,22,22,18,1713,1,0,0,0,2,1,0.05,0,0.05,0.05,0.05,0.4,0.4,1.5,0.03,0.11,0.14,0.03,0.14,Matches
man city,Claudio Bravo\Claudio-Bravo,cl CHI,GK,36,17,15,1492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
man city,John Stones\John-Stones,eng ENG,DF,25,21,15,1466,0,1,0,0,0,0,0,0.06,0.06,0,0.06,0.8,0.8,0.1,0.08,0.01,0.08,0.08,0.08,Matches
man city,Phil Foden\Phil-Foden,eng ENG,MF,19,32,14,1440,7,9,0,0,2,1,0.44,0.56,1,0.44,1,2.5,2.5,3,0.3,0.35,0.64,0.3,0.64,Matches
man city,Eric García\Eric-Garcia,es ESP,DF,18,14,10,992,0,1,0,0,0,0,0,0.09,0.09,0,0.09,0,0,0,0,0,0,0,0,Matches
man city,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,25,14,13,966,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.02,0.01,0.03,0.02,0.03,Matches
man city,Angeliño\Angelino,es ESP,DF,22,12,10,891,0,2,0,0,1,0,0,0.2,0.2,0,0.2,0.3,0.3,1.3,0.04,0.23,0.28,0.04,0.28,Matches
man city,Taylor Harwood-Bellis\Taylor-Harwood-Bellis,eng ENG,DF,17,4,3,279,1,0,0,0,0,0,0.32,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,Matches
man city,Thomas Doyle\Thomas-Doyle,eng ENG,MF,17,3,1,120,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Matches
man city,Adrian Bernabe\Adrian-Bernabe,es ESP,MF,18,3,0,47,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,Matches
man city,Leroy Sané\Leroy-Sane,de GER,FW,23,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.75,0,0.75,0.75,0.75,Matches
man united,Harry Maguire\Harry-Maguire,eng ENG,DF,26,46,46,4120,3,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,2.4,2.4,0.5,0.06,0.01,0.08,0.06,0.08,Matches
man united,Victor Lindelöf\Victor-Lindelof,se SWE,DF,25,39,39,3427,1,1,0,0,5,0,0.03,0.03,0.05,0.03,0.05,0.4,0.4,0.4,0.01,0.01,0.03,0.01,0.03,Matches
man united,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,21,38,38,3409,0,4,0,0,6,0,0,0.11,0.11,0,0.11,0.4,0.4,3,0.01,0.09,0.1,0.01,0.1,Matches
man united,Fred\Fred,br BRA,MF,26,42,35,3252,2,4,0,0,11,0,0.06,0.11,0.17,0.06,0.17,2.9,2.9,3.5,0.1,0.12,0.23,0.1,0.23,Matches
man united,David de Gea\David-de-Gea,es ESP,GK,28,36,36,3240,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
man united,Daniel James\Daniel-James,wal WAL,FW,21,41,33,2867,4,6,0,0,4,0,0.13,0.19,0.31,0.13,0.31,3.9,3.9,4.3,0.14,0.16,0.3,0.14,0.3,Matches
man united,Anthony Martial\Anthony-Martial,fr FRA,FW,23,39,34,2853,20,6,1,2,1,0,0.63,0.19,0.82,0.6,0.79,11.7,10.2,3.3,0.43,0.12,0.55,0.37,0.49,Matches
man united,Marcus Rashford\Marcus-Rashford,eng ENG,FW,21,36,31,2740,20,8,7,9,2,0,0.66,0.26,0.92,0.43,0.69,18.1,12,4.4,0.67,0.17,0.84,0.45,0.61,Matches
man united,Luke Shaw\Luke-Shaw,eng ENG,DF,24,31,27,2357,1,2,0,0,9,0,0.04,0.08,0.11,0.04,0.11,0.7,0.7,1.5,0.03,0.07,0.1,0.03,0.1,Matches
man united,Andreas Pereira\Andreas-Pereira,br BRA,FWMF,23,39,25,2271,2,4,0,0,4,0,0.08,0.16,0.24,0.08,0.24,2.5,2.5,4,0.13,0.21,0.35,0.13,0.35,Matches
man united,Scott McTominay\Scott-McTominay,sco SCO,MF,22,31,26,2263,5,1,0,0,3,0,0.2,0.04,0.24,0.2,0.24,2,2,1.2,0.09,0.05,0.14,0.09,0.14,Matches
man united,Nemanja Matić\Nemanja-Matic,rs SRB,MF,30,27,23,2056,1,3,0,0,3,1,0.04,0.13,0.18,0.04,0.18,0.2,0.2,1.1,0.01,0.06,0.08,0.01,0.08,Matches
man united,Mason Greenwood\Mason-Greenwood,eng ENG,FW,17,41,19,2029,15,3,1,1,0,0,0.67,0.13,0.8,0.62,0.75,4.3,4.3,1.2,0.28,0.08,0.35,0.28,0.35,Matches
man united,Brandon Williams\Brandon-Williams,eng ENG,DF,18,28,19,1885,1,0,0,0,8,0,0.05,0,0.05,0.05,0.05,0.7,0.7,0.5,0.05,0.04,0.09,0.05,0.09,Matches
man united,Juan Mata\Juan-Mata,es ESP,MFFW,31,34,20,1852,3,5,1,1,1,0,0.15,0.24,0.39,0.1,0.34,3.3,2.5,3.9,0.21,0.25,0.46,0.16,0.42,Matches
man united,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,26,36,19,1782,2,2,0,0,5,0,0.1,0.1,0.2,0.1,0.2,3.1,3.1,1.8,0.23,0.13,0.36,0.23,0.36,Matches
man united,Sergio Romero\Sergio-Romero,ar ARG,GK,32,15,15,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
man united,Ashley Young\Ashley-Young,eng ENG,DF,34,18,14,1316,1,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,0.2,0.2,1.5,0.02,0.12,0.14,0.02,0.14,Matches
